Game Name,Store Link,Release Date?,Thoughts,Wishlist?,Keep Demo Installed?,Played,Video Clip,Order in Video,Top 50 rank
Bao Bao's Cozy Laundromat,https://store.steampowered.com/app/3194550/Bao_Baos_Cozy_Laundromat/,March 2025,"I haven't always done idle games, but I have done Spirit City Lofi Sessions, so I think I understand the appeal of an app that oozes chill vibes and lets you focus on other things. It's worth looking into. I'm not sure if it's supposed to be more than just vibes and ""number goes up"".",Yes,No,Yes,Yes,1,
Camper Van - Make it Home,https://store.steampowered.com/app/2843190/Camper_Van_Make_it_Home/,2025,"Looks wonderful. Vibes are good, but I don't know what I'm supposed to do or how to advance.",No,No,Yes,Yes,,
Solarpunk,https://store.steampowered.com/app/1805110/Solarpunk/,2025,"The trailer for this game was pretty good but the gameplay didn't really live up to it. Controller wasn't supported. Things seemed a little janky. However, I see the promise and I'm going to chalk my issues up to potentially bad demo build.  Wishlisted.",Yes,No,Yes,Yes,2,6
Haste,https://store.steampowered.com/app/1796470/HASTE_Broken_Worlds/,TBD,"Nice, bright runner game with a great sense of flow. I was worried that it would feel too loose or fast but it's got a good flowstate.",Yes,No,Yes,Yes,3,8
Is this seat Taken?,https://store.steampowered.com/app/3035120/Is_This_Seat_Taken/,TBD,"Hand drawn style fun, chill puzzler. The individual characters give good feedback and the puzzles are enjoyable with little story elements in between.",Yes,Yes,Yes,Yes,4,22
Wanderstop,https://store.steampowered.com/app/1299460/Wanderstop/,March 2025,"More beautiful and relaxing than I expected. I feared that it was a psychological horror story and it ended up being a meditative, enjoyable game about burnout and self care.",Yes,No,Yes,Yes,5,31
Deliver at All Costs,https://store.steampowered.com/app/1880610/Deliver_At_All_Costs/,TBD,"A 1950's themed game, with driving and missions being the main goal. Controls are pretty good, music is nice.  Lots of voice acting and a fair bit of cutscenes.",Yes,No,Yes,Yes,6,34
Scaravan 66,https://store.steampowered.com/app/3238240/Scaravan_66/,TBD,"Rockabilly Hades on Route 66 in a hot rod.  There's plenty to love here, and it will be interesting to see how it develops.",Yes,No,Yes,Yes,7,
Dust Raiders,https://store.steampowered.com/app/3509010/Dust_Raiders_Demo/,2025,"Like Mad Max meeting FTL.  Decent, but slightly more complicated than I was in the mood for.  There's a chance I'd like it, but I'm not sure.",No,No,Yes,No,,
Wheel World,https://store.steampowered.com/app/1497460/Wheel_World/,2025,Open world bike racer with art style like Rollerdrome and OlliOlli and decent controls with some story to go along with it. I'd buy this.,Yes,No,Yes,Yes,8,
Run Tavernquest,https://store.steampowered.com/app/808610/Run_TavernQuest/,Q3 2025,A comedy where you pretend to be the program like Zork for a user that's not always the sharpest tool in the shed.  Pretty fun.,Yes,No,Yes,Yes,9,
Gameday Mayhem,https://store.steampowered.com/app/3364980/Gameday_Mayhem/,Apr 2025,"Interesting football concept, no bots. Tough to test and review.",No,No,Yes,No,,
gogh Focus with your avatar,https://store.steampowered.com/app/3213850/gogh_Focus_with_Your_Avatar/,2025,"Like Spirit City Lofi Sessions but more customizable, but in a fiddly way. I think I already have a better option.",No,No,Yes,No,,
OllieFrog Toad Skater,https://store.steampowered.com/app/2005910/Olliefrog_Toad_Skater/,Q2 2025,"Tony Hawk Cozy Frog Skater. Nice. The art style and round, pixely frog make me want to root for this game to succeed. The gameplay is tight and it seems like a mix of a cozy game and a sports simulation.",Yes,Yes,Yes,Yes,10,
Govnovoz,https://store.steampowered.com/app/3387560/GOVNOVOZ/,2025,Like Crazy Taxi if the art and controls were worse. It just didn't work for me.,No,No,Yes,No,,
Islands and Trains,https://store.steampowered.com/app/1957760/Islands__Trains/,TBD,"A little creative sandbox, kind of like TownScaper but with the ability to create train tracks and add trains to your island town. Engaging and relaxing. Arguably the best vibes in all of Next Fest.",Yes,Yes,Yes,Yes,11,
Hoop Fighters,https://store.steampowered.com/app/2244520/Hoop_Fighters_Party_Basketball/,2025,Interesting basketball game but no bots to play against and lobbies were empty.  Hard to judge.,No,No,Yes,No,,
Iron Convoy,https://store.steampowered.com/app/3468670/Iron_Convoy/,Q1 2025,"It was a genre I didn't love and the storytelling felt a bit forced, without the ability to skip dialogue.",No,No,Yes,No,,
Electro Bop Boxing League,https://store.steampowered.com/app/3211280/Electro_Bop_Boxing_League/,April 2025,"A sports game, rhythm game, management game, with big band vibes all at the same time. My first experience was a little overwhelming but the vibes were good enough for me to want to return.",Yes,Yes,Yes,Yes,12,
Descenders Next,https://store.steampowered.com/app/2375530/Descenders_Next/,2025,"Like the original Descenders but with snowboards and snow. I like the original, but don't love it.  Same goes for the sequel. It feels a little too loosey goosey in the controls but it's still a pretty good time.",Yes,No,Yes,Yes,13,
Goodlands,https://store.steampowered.com/app/1797850/Goodlands/,TBD,"Dinosaurs digging up fossils. Interesting idea. The implementation is a little bland, but there's a chance that this gets polished into something really cool.",Yes,No,Yes,Yes,14,
Monaco 2,https://store.steampowered.com/app/1063030/Monaco_2/,2025,"I played the co-op mode with my kid.  They really enjoyed it, and kind of dragged me along.  I appreciate that there are several different ways to accomplish tasks, but I'm not sure if I enjoy the espionage and stealth mechanics, even though they are well done. Wishlisting because it might be a fun family game.",Yes,No,Yes,Yes,15,
Neon Apex,https://store.steampowered.com/app/3039250/Neon_Apex_Beyond_the_Limit/,2025,Neon soaked racer with lots of style and a great feeling of speed. It looks like there's a pretty big story mode available.,Yes,Yes,Yes,Yes,16,
