Game Name,Store Link,Release Date?,Thoughts,Wishlist?,Keep Demo Installed?,Played,Video Clip,Order in Video,Top 50 rank
Baki Hanma Blood Arena,https://store.steampowered.com/app/3469230/Baki_Hanma_Blood_Arena/?curator_clanid=42310171,Q3 2025,"I'd really like for there to be more spiritual successors to the Punch Out Franchise, since the last official installment was a Nintendo Wii game. It looks like Baki Hanma Blood Arena is throwing its hat into the ring as a possible successor to the title. It appears to be an anime style 2D fighting game with very similar thematic elements to Punch Out. It's certainly a promising demo, and I'm wishlisting it in the hopes of reliving more Punch Out glory. As a note, Purple Tree, the developer, also made another Punch Out style game called Thunder Ray that I have not played but the trailer looks really cool.",Yes,,,,,
Ball x Pit,https://store.steampowered.com/app/2062430/BALL_x_PIT/,To be announced,"Ball x Pit is a new take on the old school Breakout or brick breaking genre. It adds some modern elements to an old game type and keeps a consistent theme by referring to the defeated kingdom of ""Ballbalon"" and the goal of restoring the kingdom to glory. I will watch this game to see what it looks like in its final form, but it's already fun to play right now, even without getting deep into the roguelike elements that it has included.",Yes,,,,,
Chill with You : Lo-Fi Story,https://store.steampowered.com/app/3548580/Chill_with_You__LoFi_Story/,Q3 2025,"Chill with you appears to be halfway between a productivity app and a narrative game. Generally, the vibe is similar to Spirit City: Lofi Sessions, but the avatar is a different character that you hang out with instead of an avatar of yourself. There are many productivity similarities, but instead of collecting being the main goal, it appears that getting to know this random girl with glasses is the goal. It looks like the game is being developed in Japanese, as some of the localization still needs some polish. Overall, it's a very promising demo and I will be wishlisting it to follow along.",Yes,,,,,
DAY OF DRIFT,https://store.steampowered.com/app/3650050/DAY_OF_DRIFT/,Coming soon,"DAY OF DRIFT feels like a game that is the love child of RC Pro Am and Fast and The Furious Tokyo Drift. The music is catchy and crunchy, the controls allow for gamers to gain in skill, and the game tracks drift points so that you can show off your skills to your friends or just try to beat your own top score. I am looking forward to the full game.",Yes,,,,,
Dead As Disco,https://store.steampowered.com/app/3404260/Dead_as_Disco/,Coming Soon,"Dead as Disco is a combination of a Beat Em Up and a Rhythm Game. The art style is neon soaked goodness. There is a mode that is like Streets of Rage, and another game that is closer to Beat Saber. The demo also includes the ability to upload your own music and bash to the beats of your favorite songs. Totally radical.",Yes,,,,,
Decks of the Damned,https://store.steampowered.com/app/2159900/Decks_of_the_Damned/,Q4 2025,"Decks of the Damned is a real time card strategy game with moving cards, similar to Stacklands and Kaya's Prophecy. I appreciate that they have themed it in a vampire style. It's due out near the end of 2025, and I'm intrigued with how the later rounds of the game will integrate more vampire story elements in the crafting, the events, and the cards.",Yes,,,,,
Dream Runner,https://store.steampowered.com/app/3035870/Dream_Runner/,2025,"Dream Runner is a precision puzzle platformer with shades of Celeste but with a more ethereal pastel vibe. I had the pleasure of meeting the developers at MDEV and I am happy to see that the different traversal elements and tight controls create an experience that is part puzzle game, part precision platformer, and all good vibes.",Yes,,,,,
Easy Delivery Co.,https://store.steampowered.com/app/3293010/Easy_Delivery_Co/,2025,"Easy Delivery Co is similar to a combination of a cozy delivery game and Silent Hill. I'm not sure I would have ever expected the combination of the fog, blocky pixels, and self directed delivery missions. It was a surprise for me to enjoy this game, as I'm not usually a spooky game fan, but I appreciate the winter weather and delivery vehicle tunes.",Yes,,,,,
git gud,https://store.steampowered.com/app/1490570/git_gud/,,"git gud seems to basically be a git tutorial. It runs in the command line. It doesn't seem to be a game, just a command line tutorial. I think I'm fine.",No,,,,,
Sky Dreamer,https://store.steampowered.com/app/3445000/Sky_Dreamer/,,"This is another productivity app, but it's just not as good as some of its competitors.",No,,,,,
GOAL3,https://store.steampowered.com/app/3566920/GOAL3/,,"The game looks OK, but the sound and gameplay kind of suck.",No,,,,,
